,user_id,text
44,880582901,"Хотя я не QA, не знаю особо кухню найма"
45,880582901,"Это да, нужно высосать из пальца хотябы пол года опыта + хорошо составить резюме"
46,339897801,QA да
47,549661489,Сложно даже попасть на него 😁
48,741613157,"Но им даже лекции по ОС, Java, multithreading читает чел из Computer Science Center"
49,153293033,классические рпг на английском лучше любых учебников
50,741613157,"Ну да, там у тестеров как проходной двор"
51,880582901,"Аа, маловато, но для первой работы норм"
52,153293033,я на компютерных играх повышал (я серьезно) + бухал тогда много со студентами с европы и америки
53,741613157,50к для Питера
54,741613157,"Вроде нормально, начальник относительно молод, БМВ, квартира в центре, загородный дом"
55,741613157,На прошлой берут всех в тестировщики но зарплата не ахти
56,880582901,"Я думал, что такого не может быть) а как девушки? Не увольняются из-за этого?"
57,741613157,"Они не жалуются, полгода девушку взяли после курсов тестировщика она до этого работала груммером"
58,880582901,Жесть))
59,880582901,Вот насчёт английского - мое мнение - если умеет открывать гугл переводчик и как то внятно понимать доку - то хватит. Если не претендует на удаленку в зарубежных компаниях
60,741613157,Сексизм и эджизм. Начальник любит с ними по кабакам зависать
61,880582901,Эйджизм?)
62,583625723,"Знает, B1, может подтянуть до B2, подскажи, плз"
63,741613157,У меня на основной работе в тестировщики начальство берет девушек до 24
64,880582901,"Сложно наверно только пройти собес, а работа по моему мнению лафа"
65,880582901,"Как понял, чел хочет пойти в QA? 
Я бы посоветовал найти в рутрекере или на ютубе курсы и попробовать пройти.
Там не особо сложно, если чел с компом дружит то думаю можно что то найти.
Вот для веба:
- линукс (командная строка) и утилиты всякие типа curl, vim итд
-  postman, дёргать API, инструмент разработчика в хроме. 
- написать тесткейсы
- типы тестирования (смок, регресс, и прочее)
- ну и предметная область ( основы python, php или на чем пишут проект), думаю основы питона маст хев."
66,153293033,"я ща джаву на codecademy учу это платные интерактивные задачники, я хз почему про них никто не говорит"
67,153293033,я после года курсов понял что уже в третьем разделе не могу решить ни одной задачи
68,153293033,"с английского. если знает могу подсказать один учебник по джава , и если он прорешает там все задачи то прям хорошо выучится — thinking in java"
69,583625723,А с чего ему лучше начать?
70,153293033,"главное не учить ничего на курсах, это пустая трата времени"
71,549661489,"Тут два года учишься за норм деньги и то не факт, что возьмут))"
72,583625723,"Поясню: человек раньше с ИТ не был связан, по образованию - инженер-технолог швейной промышленности, работает HR-ом, хочет работать из дома (это критично), высокая ЗП не критична. Учиться на курсах готов."
73,153293033,единственное куда реально устроиться это Яндекс
74,153293033,130 отказов на 2 тестовых
75,355018531,Отучиться и в сферу эту пойти 😁
76,339897801,"Имеешь ввиду, что сейчас по мнению участников востребовано?! тестировщиков много), или ты имеешь ввиду с нуля на удаленку без курсов и тд?"
77,583625723,А какой диапазон зарплат? Или это чистый фриланс?
78,549661489,"Без знакомств, для зарплаты, на которую можно прожить - нереально"
79,583625723,"человек хочет переквалифицироваться с нуля на удалённую работу. Например, тестировщик ПО, игр и т.п.
Подскажите, кто сталкивался, насколько это востребованно сейчас на рынке IT?"
80,583625723,Камни утянут на дно и остальных
81,549661489,Попробуй в другую команду попроситься через Созыкина
82,387370383,угу
83,355018531,даже в слак не вышли на связь?
84,355018531,Там суть в пробе участия
